"last_name, first_name",player_id,year,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,avg,slg_percent,on_base_percent,on_base_plus_slg,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Edman, Tommy",669242,2022,577,630,153,105,31,4,13,111,46,17.6,7.3,0.265,0.4,0.324,0.724,0.318,0.308,31.6,6.2,37.8,98.931648319,93.598664536,20.6,47
"Mateo, Jorge",622761,2022,494,533,109,64,25,7,13,147,27,27.6,5.1,0.221,0.379,0.267,0.646,0.281,0.272,35.5,6,32.7,98.63578407,93.337279593,30.9,53.9
"Semien, Marcus",543760,2022,657,724,163,101,31,5,26,120,53,16.6,7.3,0.248,0.429,0.304,0.733,0.317,0.306,32.4,6.8,34.9,97.838624343,93.00847117,20.6,47.2
"Acuña Jr., Ronald",660670,2022,467,533,124,85,24,0,15,126,53,23.6,9.9,0.266,0.413,0.351,0.764,0.335,0.365,32.8,12.8,49.7,103.759318129,96.440064282,24.9,47.9
"Springer III, George",543807,2022,513,583,137,86,22,4,25,100,54,17.2,9.3,0.267,0.472,0.342,0.814,0.352,0.342,31.8,8.4,42.3,101.320507081,94.768491799,28.2,50.9
"Happ, Ian",664023,2022,573,641,155,94,42,2,17,149,58,23.2,9,0.271,0.44,0.342,0.782,0.339,0.306,29.2,6.5,40.4,100.312408396,94.405566288,27.2,49
"Olson, Matt",621566,2022,616,699,148,70,44,0,34,170,75,24.3,10.7,0.24,0.477,0.325,0.802,0.344,0.347,33.8,13.6,50.9,103.665099911,96.545680491,28.9,49.5
"Bregman, Alex",608324,2022,548,656,142,81,38,0,23,77,87,11.7,13.3,0.259,0.454,0.366,0.82,0.358,0.35,36.2,7.3,37.8,98.378645333,93.364139021,14.9,40.3
"Pham, Tommy",502054,2022,554,622,131,90,23,1,17,167,56,26.8,9,0.236,0.374,0.312,0.686,0.304,0.311,33.2,7.9,48.5,102.514437436,95.778101436,26,42
"Peña, Jeremy",665161,2022,521,558,132,88,20,2,22,135,22,24.2,3.9,0.253,0.426,0.289,0.715,0.309,0.304,32.9,9.7,36.7,99.803563646,93.99255276,29.7,55.2
"Yastrzemski, Mike",573262,2022,485,558,104,54,31,2,17,141,61,25.3,10.9,0.214,0.392,0.305,0.697,0.307,0.314,36.2,11.1,42.5,99.830966069,94.251098237,22.5,42.9
"France, Ty",664034,2022,551,613,151,103,27,1,20,94,35,15.3,5.7,0.274,0.436,0.338,0.774,0.337,0.321,34.8,5.4,36.8,99.035163319,93.565264683,19.3,52.5
"Cronenworth, Jake",630105,2022,587,684,140,89,30,4,17,131,70,19.2,10.2,0.239,0.39,0.332,0.722,0.318,0.303,32.3,5.6,34.1,97.917362826,93.091918039,18,41.8
"Kirk, Alejandro",672386,2022,470,541,134,101,19,0,14,58,63,10.7,11.6,0.285,0.415,0.372,0.787,0.347,0.351,32,6.7,45.4,101.053304663,94.989537614,15.4,41
"Kim, Ha-Seong",673490,2022,517,582,130,87,29,3,11,100,51,17.2,8.8,0.251,0.383,0.325,0.708,0.313,0.309,34,4.2,32.4,97.647567656,92.869312734,19.1,43.3
"Crawford, J.P.",641487,2022,518,603,126,93,24,3,6,80,68,13.3,11.3,0.243,0.336,0.339,0.675,0.306,0.315,32.4,2,29.7,96.663647706,92.35483867,14.3,41.3
"Muncy, Max",571970,2022,464,565,91,47,22,1,21,141,90,25,15.9,0.196,0.384,0.329,0.713,0.318,0.339,34.3,13.4,45.6,100.488456196,94.680756043,26.1,38.6
"Rizzo, Anthony",519203,2022,465,548,104,50,21,1,32,101,58,18.4,10.6,0.224,0.48,0.338,0.818,0.352,0.349,34.2,10.9,41,99.618112951,94.120579288,22.8,46.1
"Machado, Manny",592518,2022,578,644,172,102,37,1,32,133,63,20.7,9.8,0.298,0.531,0.366,0.897,0.382,0.338,36.7,9.8,49,102.622706786,95.790495526,24.9,50.8
"Bell, Josh",605137,2022,552,647,147,98,29,3,17,102,81,15.8,12.5,0.266,0.422,0.362,0.784,0.344,0.349,30.7,7.2,40.8,100.551357456,94.511584791,21.7,45.3
"Ramírez, José",608070,2022,601,685,168,90,44,5,29,82,69,12,10.1,0.28,0.514,0.355,0.869,0.363,0.32,33.7,6.6,36.9,98.871944811,93.503434175,15.1,46.3
"Reynolds, Bryan",668804,2022,542,614,142,92,19,4,27,141,56,23,9.1,0.262,0.461,0.345,0.806,0.349,0.329,35.5,7.9,42.9,100.882578564,94.722792556,27.7,50.4
"Estrada, Thairo",642731,2022,488,541,127,89,22,2,14,89,33,16.5,6.1,0.26,0.4,0.322,0.722,0.317,0.299,31.6,4.4,31.1,97.092146345,92.54814231,19.7,49.2
"Nimmo, Brandon",607043,2022,580,673,159,106,30,7,16,116,71,17.2,10.5,0.274,0.433,0.367,0.8,0.353,0.338,28.1,7,39.8,100.251301732,94.354698482,19.6,43.8
"Tucker, Kyle",663656,2022,544,609,140,81,28,1,30,95,59,15.6,9.7,0.257,0.478,0.33,0.808,0.348,0.353,34.4,10.2,42.4,100.332560357,94.468288036,19.9,52.7
