"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Hoffman, Jeff","656546","2024","215","126",0.198,0.197,0.0010000000000000009,0.33,0.335,-0.0050000000000000044,0.255,0.258,-0.0030000000000000027,"2.02","2.68","-0.655"
"Vesia, Alex","681911","2024","214","115",0.159,0.169,-0.010000000000000009,0.308,0.35,-0.04199999999999998,0.251,0.27,-0.019000000000000017,"1.86","2.94","-1.084"
"Adam, Jason","592094","2024","214","130",0.162,0.212,-0.04999999999999999,0.262,0.349,-0.08699999999999997,0.223,0.283,-0.05999999999999997,"2.09","3.24","-1.151"
"Suter, Brent","608718","2024","214","161",0.255,0.269,-0.014000000000000012,0.435,0.422,0.013000000000000012,0.313,0.316,-0.0030000000000000027,"3.68","4.10","-0.418"
"Barlow, Scott","605130","2024","214","118",0.217,0.228,-0.01100000000000001,0.361,0.357,0.0040000000000000036,0.309,0.313,-0.0040000000000000036,"4.07","4.02","0.048"
"Alvarado, José","621237","2024","214","139",0.223,0.24,-0.016999999999999987,0.351,0.386,-0.03500000000000003,0.295,0.314,-0.019000000000000017,"4.47","4.05","0.42"
"Kittredge, Andrew","552640","2024","214","149",0.247,0.263,-0.016000000000000014,0.443,0.456,-0.013000000000000012,0.319,0.333,-0.014000000000000012,"3.51","4.61","-1.104"
"Molina, Anthony","683627","2024","213","162",0.303,0.303,0,0.447,0.469,-0.021999999999999964,0.354,0.366,-0.01200000000000001,"6.46","5.73","0.735"
"Faucher, Calvin","676534","2024","212","132",0.263,0.239,0.02400000000000002,0.358,0.339,0.01899999999999996,0.311,0.303,0.008000000000000007,"3.40","3.75","-0.351"
"Rodríguez, Randy","678495","2024","211","139",0.234,0.209,0.025000000000000022,0.372,0.352,0.020000000000000018,0.296,0.278,0.01799999999999996,"3.93","3.12","0.814"
"Thompson, Ryan","657044","2024","211","160",0.24,0.251,-0.01100000000000001,0.367,0.401,-0.03400000000000003,0.279,0.303,-0.023999999999999966,"2.58","3.75","-1.17"
"Kolek, Stephen","663568","2024","211","156",0.303,0.284,0.019000000000000017,0.41,0.417,-0.007000000000000006,0.335,0.33,0.0050000000000000044,"5.21","4.52","0.687"
"McArthur, James","663704","2024","211","160",0.299,0.279,0.019999999999999962,0.462,0.442,0.020000000000000018,0.344,0.329,0.014999999999999958,"4.71","4.49","0.221"
"Nardi, Andrew","677053","2024","210","121",0.234,0.196,0.038000000000000006,0.426,0.325,0.10099999999999998,0.312,0.261,0.05099999999999999,"5.07","2.74","2.334"
"Maton, Phil","664208","2024","210","133",0.211,0.247,-0.036000000000000004,0.378,0.413,-0.034999999999999976,0.31,0.336,-0.026000000000000023,"3.78","4.70","-0.92"
"Cleavinger, Garrett","664076","2024","210","119",0.212,0.228,-0.016000000000000014,0.291,0.36,-0.069,0.284,0.314,-0.030000000000000027,"2.75","4.05","-1.295"
"Cano, Yennier","666974","2024","209","139",0.245,0.239,0.006000000000000005,0.383,0.372,0.01100000000000001,0.309,0.303,0.006000000000000005,"2.86","3.75","-0.889"
"Megill, Tylor","656731","2024","209","128",0.246,0.235,0.01100000000000001,0.415,0.411,0.0040000000000000036,0.331,0.324,0.007000000000000006,"5.17","4.34","0.83"
"Brebbia, John","605154","2024","209","133",0.258,0.271,-0.013000000000000012,0.421,0.435,-0.014000000000000012,0.327,0.337,-0.010000000000000009,"5.66","4.74","0.924"
"Weissert, Greg","669711","2024","209","142",0.281,0.234,0.047000000000000014,0.443,0.362,0.08100000000000002,0.328,0.283,0.04500000000000004,"4.10","3.24","0.857"
"Peguero, Elvis","665625","2024","208","139",0.258,0.252,0.006000000000000005,0.363,0.366,-0.0030000000000000027,0.315,0.314,0.0010000000000000009,"3.00","4.05","-1.05"
"Ramírez, Yohan","670990","2024","208","134",0.28,0.255,0.025000000000000022,0.423,0.392,0.030999999999999972,0.351,0.331,0.019999999999999962,"6.20","4.55","1.65"
"Hudson, Bryan","663542","2024","208","132",0.148,0.206,-0.057999999999999996,0.307,0.356,-0.04899999999999999,0.232,0.276,-0.04400000000000001,"1.94","3.08","-1.14"
"Finnegan, Kyle","640448","2024","208","142",0.228,0.264,-0.036000000000000004,0.407,0.443,-0.03600000000000003,0.299,0.329,-0.030000000000000027,"3.60","4.49","-0.89"
"Martinez, Seth","661527","2024","208","153",0.231,0.241,-0.009999999999999981,0.403,0.374,0.029000000000000026,0.311,0.305,0.006000000000000005,"3.04","3.80","-0.76"
"Buehler, Walker","621111","2024","207","152",0.308,0.278,0.02999999999999997,0.551,0.47,0.08100000000000007,0.393,0.353,0.040000000000000036,"6.09","5.27","0.82"
"De Los Santos, Enyel","660853","2024","207","134",0.278,0.255,0.02300000000000002,0.567,0.484,0.08299999999999996,0.387,0.347,0.040000000000000036,"5.79","5.06","0.726"
"Smyly, Drew","592767","2024","207","145",0.225,0.233,-0.008000000000000007,0.39,0.371,0.019000000000000017,0.296,0.293,0.0030000000000000027,"2.88","3.49","-0.61"
"Moore, Matt","519043","2024","207","139",0.215,0.223,-0.008000000000000007,0.418,0.417,0.0010000000000000009,0.322,0.323,-0.0010000000000000009,"4.69","4.31","0.378"
"Webb, Jacob","657097","2024","207","129",0.188,0.218,-0.03,0.315,0.375,-0.06,0.268,0.301,-0.032999999999999974,"3.08","3.69","-0.609"
"Pressly, Ryan","519151","2024","206","138",0.272,0.248,0.02400000000000002,0.402,0.406,-0.0040000000000000036,0.322,0.315,0.007000000000000006,"3.86","4.08","-0.223"
"Jiménez, Joe","641729","2024","205","130",0.187,0.188,-0.0010000000000000009,0.236,0.29,-0.05399999999999999,0.232,0.256,-0.023999999999999994,"2.86","2.64","0.221"
"Zerpa, Angel","672582","2024","205","147",0.296,0.276,0.019999999999999962,0.441,0.452,-0.01100000000000001,0.342,0.34,0.0020000000000000018,"4.40","4.83","-0.43"
